,latitude,longitude
527,28.452091,-16.256311
528,28.452091,-16.256311
529,28.452091,-16.256311
530,28.452091,-16.256311
531,28.452091,-16.256311
532,28.452091,-16.256311
533,28.452091,-16.256311
534,28.452091,-16.256311
535,28.452091,-16.256311
536,28.452091,-16.256311
537,28.452091,-16.256311
538,28.452091,-16.256311
539,28.452091,-16.256311
540,28.452091,-16.256311
541,28.452091,-16.256311
542,28.452091,-16.256311
543,28.452091,-16.256311
544,28.452091,-16.256311
545,28.452091,-16.256311
546,28.452091,-16.256311
547,28.452091,-16.256311
548,28.452091,-16.256311
549,28.452091,-16.256311
550,28.456165,-16.251289
551,28.469216,-16.301961
552,28.466844,-16.244371
553,28.464116,-16.250678
554,28.456137,-16.2513
555,28.46705,-16.245045
556,28.449722,-16.275834
557,28.464688,-16.266363
558,28.464688,-16.266363
559,28.456538,-16.25192
560,28.456538,-16.25192
561,28.456538,-16.25192
562,28.456538,-16.25192
563,28.456538,-16.25192
564,28.456538,-16.25192
565,28.458838,-16.256026
566,28.464044,-16.25192
567,28.465766,-16.250478
568,28.465172,-16.251145
569,28.467074,-16.250717
570,28.466933,-16.251195
571,28.467127,-16.250759
572,28.466402,-16.248614
573,28.466766,-16.247039
574,28.466858,-16.247012
575,28.467499,-16.247489
576,28.467494,-16.247084
577,28.467274,-16.247826
578,28.467602,-16.247456
579,28.467277,-16.247148
580,28.46698,-16.247076
581,28.46495,-16.249878
582,28.464808,-16.250114
583,28.464755,-16.251548
584,28.464733,-16.252142
585,28.464733,-16.252142
586,28.464777,-16.252467
587,28.464794,-16.252587
588,28.464777,-16.252467
589,28.464105,-16.249456
590,28.464747,-16.252267
591,28.464783,-16.25237
592,28.464608,-16.252025
593,28.464783,-16.25237
594,28.464608,-16.252025
595,28.46473,-16.252239
596,28.464025,-16.249864
597,28.46473,-16.252239
598,28.46473,-16.252239
599,28.464044,-16.249864
600,28.464083,-16.251498
601,28.464055,-16.251537
602,28.463513,-16.251881
603,28.462772,-16.252103
604,28.457016,-16.258512
605,28.45403,-16.256242
606,28.452925,-16.255356
607,28.45283,-16.255684
608,28.452811,-16.255592
609,28.452811,-16.255578
610,28.452933,-16.255414
611,28.452897,-16.255384
612,28.452922,-16.255614
613,28.452752,-16.255501
614,28.452866,-16.255812
615,28.452822,-16.255589
616,28.452488,-16.255498
617,28.452786,-16.255556
618,28.452069,-16.25732
619,28.451958,-16.257275
620,28.451911,-16.25685
621,28.451794,-16.25705
622,28.451761,-16.257095
623,28.452008,-16.257978
624,28.452483,-16.258787
625,28.45188,-16.257575
626,28.452008,-16.257937
627,28.45203,-16.257948
628,28.45188,-16.257534
629,28.452405,-16.258334
630,28.452805,-16.256517
631,28.452897,-16.258025
632,28.453033,-16.257292
633,28.452897,-16.2568
634,28.452605,-16.258373
635,28.452591,-16.258373
636,28.452738,-16.258203
637,28.452886,-16.258037
638,28.454433,-16.25472
639,28.454933,-16.254906
640,28.45485,-16.254003
641,28.455119,-16.253534
642,28.45513,-16.253525
643,28.454525,-16.253253
644,28.454405,-16.254745
645,28.45485,-16.254114
646,28.455505,-16.25225
647,28.455436,-16.253251
648,28.455513,-16.252942
649,28.455466,-16.252837
650,28.455819,-16.252253
651,28.455816,-16.251873
652,28.455836,-16.251875
653,28.455819,-16.251684
654,28.455397,-16.253264
655,28.455858,-16.252301
656,28.455466,-16.252834
657,28.455811,-16.251845
658,28.455819,-16.251875
659,28.455825,-16.251875
660,28.455677,-16.252831
661,28.455816,-16.251848
662,28.456363,-16.251887
